Admin2,ISO,Month,Year,CivEvents,CivFatalities,PolEvents,PolFatalities,CivFatalitiesProportion,TotalEvents
Khan Yunis,PS-KYS,October,2023,115,1047,170,1223,0.86,170
Khan Yunis,PS-KYS,November,2023,126,609,188,651,0.94,188
Khan Yunis,PS-KYS,December,2023,171,1345,413,1493,0.9,413
Khan Yunis,PS-KYS,January,2024,141,1303,416,1776,0.73,416
Khan Yunis,PS-KYS,February,2024,112,457,290,855,0.53,290
Khan Yunis,PS-KYS,March,2024,68,304,264,687,0.44,264
Khan Yunis,PS-KYS,April,2024,31,139,125,164,0.85,125
Khan Yunis,PS-KYS,May,2024,25,36,84,45,0.8,84
Khan Yunis,PS-KYS,June,2024,33,100,90,100,1,90
Khan Yunis,PS-KYS,July,2024,104,294,183,542,0.54,183
Khan Yunis,PS-KYS,August,2024,136,318,296,586,0.54,296
Khan Yunis,PS-KYS,September,2024,58,126,121,153,0.82,121
Khan Yunis,PS-KYS,October,2024,54,184,117,200,0.92,117
Khan Yunis,PS-KYS,November,2024,45,187,91,199,0.94,91
Khan Yunis,PS-KYS,December,2024,38,70,76,125,0.56,76
Khan Yunis,PS-KYS,January,2025,50,99,96,139,0.71,96
Khan Yunis,PS-KYS,February,2025,13,33,32,33,1,32
Khan Yunis,PS-KYS,March,2025,80,343,148,371,0.92,148
Khan Yunis,PS-KYS,April,2025,195,474,294,553,0.86,294
Khan Yunis,PS-KYS,May,2025,214,550,342,622,0.88,342
Khan Yunis,PS-KYS,June,2025,163,463,371,552,0.84,371
Khan Yunis,PS-KYS,July,2025,130,626,290,690,0.91,290
Khan Yunis,PS-KYS,August,2025,111,329,228,379,0.87,228
Khan Yunis,PS-KYS,September,2025,102,167,167,182,0.92,167
Khan Yunis,PS-KYS,October,2025,50,72,122,120,0.6,122
Nablus,PS-NBS,October,2023,83,7,213,24,0.29,213
Nablus,PS-NBS,November,2023,53,1,162,13,0.08,162
Nablus,PS-NBS,December,2023,25,0,118,5,0,118
Nablus,PS-NBS,January,2024,27,0,101,6,0,101
Nablus,PS-NBS,February,2024,26,4,112,8,0.5,112
Nablus,PS-NBS,March,2024,44,2,119,4,0.5,119
Nablus,PS-NBS,April,2024,36,2,122,7,0.29,122
Nablus,PS-NBS,May,2024,43,0,157,4,0,157
Nablus,PS-NBS,June,2024,40,0,136,4,0,136
Nablus,PS-NBS,July,2024,37,0,164,5,0,164
Nablus,PS-NBS,August,2024,38,0,144,3,0,144
Nablus,PS-NBS,September,2024,31,2,132,3,0.67,132
Nablus,PS-NBS,October,2024,77,0,181,9,0,181
Nablus,PS-NBS,November,2024,28,1,123,4,0.25,123
Nablus,PS-NBS,December,2024,22,1,152,8,0.13,152
Nablus,PS-NBS,January,2025,59,0,145,8,0,145
Nablus,PS-NBS,February,2025,27,0,123,4,0,123
Nablus,PS-NBS,March,2025,45,1,127,4,0.25,127
Nablus,PS-NBS,April,2025,26,0,100,5,0,100
Nablus,PS-NBS,May,2025,36,0,112,8,0,112
Nablus,PS-NBS,June,2025,47,0,97,2,0,97
Nablus,PS-NBS,July,2025,38,0,102,4,0,102
Nablus,PS-NBS,August,2025,26,1,77,1,1,77
Nablus,PS-NBS,September,2025,49,1,126,2,0.5,126
Nablus,PS-NBS,October,2025,92,0,180,2,0,180
North Gaza,PS-NGZ,October,2023,123,1176,191,1422,0.83,191
North Gaza,PS-NGZ,November,2023,145,1894,267,1987,0.95,267
North Gaza,PS-NGZ,December,2023,80,1152,245,1263,0.91,245
North Gaza,PS-NGZ,January,2024,42,345,163,429,0.8,163
North Gaza,PS-NGZ,February,2024,26,81,117,96,0.84,117
North Gaza,PS-NGZ,March,2024,39,130,172,146,0.89,172
North Gaza,PS-NGZ,April,2024,29,233,132,265,0.88,132
North Gaza,PS-NGZ,May,2024,73,361,223,754,0.48,223
North Gaza,PS-NGZ,June,2024,12,40,58,41,0.98,58
North Gaza,PS-NGZ,July,2024,23,54,56,54,1,56
North Gaza,PS-NGZ,August,2024,35,83,104,89,0.93,104
North Gaza,PS-NGZ,September,2024,43,104,104,140,0.74,104
North Gaza,PS-NGZ,October,2024,103,835,263,1858,0.45,263
North Gaza,PS-NGZ,November,2024,93,696,263,1240,0.56,263
North Gaza,PS-NGZ,December,2024,75,382,187,532,0.72,187
North Gaza,PS-NGZ,January,2025,23,84,70,130,0.65,70
North Gaza,PS-NGZ,February,2025,3,3,7,3,1,7
North Gaza,PS-NGZ,March,2025,44,175,83,193,0.91,83
North Gaza,PS-NGZ,April,2025,65,170,99,247,0.69,99
North Gaza,PS-NGZ,May,2025,114,463,174,503,0.92,174
North Gaza,PS-NGZ,June,2025,44,216,96,262,0.82,96
North Gaza,PS-NGZ,July,2025,28,296,86,481,0.62,86
North Gaza,PS-NGZ,August,2025,49,267,77,299,0.89,77
North Gaza,PS-NGZ,September,2025,18,113,30,124,0.91,30
North Gaza,PS-NGZ,October,2025,6,7,17,18,0.39,17
Qalqiliya,PS-QQA,October,2023,25,1,63,6,0.17,63
Qalqiliya,PS-QQA,November,2023,16,1,58,2,0.5,58
Qalqiliya,PS-QQA,December,2023,14,0,67,4,0,67
Qalqiliya,PS-QQA,January,2024,12,0,63,4,0,63
Qalqiliya,PS-QQA,February,2024,5,0,34,2,0,34
Qalqiliya,PS-QQA,March,2024,14,0,39,0,0,39
Qalqiliya,PS-QQA,April,2024,21,0,43,0,0,43
Qalqiliya,PS-QQA,May,2024,12,0,44,0,0,44
Qalqiliya,PS-QQA,June,2024,4,2,19,5,0.4,19
Qalqiliya,PS-QQA,July,2024,16,0,40,0,0,40
Qalqiliya,PS-QQA,August,2024,23,2,49,4,0.5,49
Qalqiliya,PS-QQA,September,2024,13,0,33,0,0,33
Qalqiliya,PS-QQA,October,2024,12,1,27,1,1,27
Qalqiliya,PS-QQA,November,2024,10,0,20,0,0,20
Qalqiliya,PS-QQA,December,2024,8,2,22,3,0.67,22
Qalqiliya,PS-QQA,January,2025,32,3,58,3,1,58
Qalqiliya,PS-QQA,February,2025,12,2,33,2,1,33
Qalqiliya,PS-QQA,March,2025,14,0,31,2,0,31
Qalqiliya,PS-QQA,April,2025,7,0,24,0,0,24
Qalqiliya,PS-QQA,May,2025,9,0,20,1,0,20
Qalqiliya,PS-QQA,June,2025,7,0,18,0,0,18
Qalqiliya,PS-QQA,July,2025,5,0,16,0,0,16
Qalqiliya,PS-QQA,August,2025,0,0,7,0,0,7
Qalqiliya,PS-QQA,September,2025,13,0,27,4,0,27
Qalqiliya,PS-QQA,October,2025,17,0,31,0,0,31
Rafah,PS-RFH,October,2023,79,947,112,969,0.98,112
Rafah,PS-RFH,November,2023,58,263,95,266,0.99,95
Rafah,PS-RFH,December,2023,78,491,147,501,0.98,147
Rafah,PS-RFH,January,2024,52,219,120,222,0.99,120
Rafah,PS-RFH,February,2024,81,426,152,451,0.94,152
Rafah,PS-RFH,March,2024,58,201,133,213,0.94,133
Rafah,PS-RFH,April,2024,56,322,103,324,0.99,103
Rafah,PS-RFH,May,2024,105,274,290,792,0.35,290
Rafah,PS-RFH,June,2024,88,203,277,694,0.29,277
Rafah,PS-RFH,July,2024,70,151,195,616,0.25,195
Rafah,PS-RFH,August,2024,37,95,161,673,0.14,161
Rafah,PS-RFH,September,2024,57,136,135,293,0.46,135
Rafah,PS-RFH,October,2024,53,110,136,133,0.83,136
Rafah,PS-RFH,November,2024,53,92,129,145,0.63,129
Rafah,PS-RFH,December,2024,58,99,107,118,0.84,107
Rafah,PS-RFH,January,2025,39,83,80,93,0.89,80
Rafah,PS-RFH,February,2025,29,50,52,61,0.82,52
Rafah,PS-RFH,March,2025,80,176,139,213,0.83,139
Rafah,PS-RFH,April,2025,36,59,110,98,0.6,110
Rafah,PS-RFH,May,2025,20,44,67,90,0.49,67
Rafah,PS-RFH,June,2025,35,370,44,370,1,44
Rafah,PS-RFH,July,2025,40,285,53,286,1,53
Rafah,PS-RFH,August,2025,31,185,46,197,0.94,46
Rafah,PS-RFH,September,2025,31,120,38,127,0.94,38
Rafah,PS-RFH,October,2025,12,30,30,40,0.75,30
Ramallah & Al Bireh,PS-RBH*,October,2023,69,1,163,14,0.07,163
Ramallah & Al Bireh,PS-RBH*,November,2023,29,0,86,10,0,86
Ramallah & Al Bireh,PS-RBH*,December,2023,18,0,73,2,0,73
Ramallah & Al Bireh,PS-RBH*,January,2024,15,2,60,11,0.18,60
Ramallah & Al Bireh,PS-RBH*,February,2024,22,0,69,0,0,69
Ramallah & Al Bireh,PS-RBH*,March,2024,24,2,51,9,0.22,51
Ramallah & Al Bireh,PS-RBH*,April,2024,27,1,62,3,0.33,62
Ramallah & Al Bireh,PS-RBH*,May,2024,32,0,85,1,0,85
Ramallah & Al Bireh,PS-RBH*,June,2024,21,0,65,5,0,65
Ramallah & Al Bireh,PS-RBH*,July,2024,46,2,101,5,0.4,101
Ramallah & Al Bireh,PS-RBH*,August,2024,33,1,71,3,0.33,71
Ramallah & Al Bireh,PS-RBH*,September,2024,23,2,61,3,0.67,61
Ramallah & Al Bireh,PS-RBH*,October,2024,36,0,67,1,0,67
Ramallah & Al Bireh,PS-RBH*,November,2024,22,0,55,0,0,55
Ramallah & Al Bireh,PS-RBH*,December,2024,21,0,45,0,0,45
