Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Sector Affected,Provider,Launch Type,Explosive Weapon Type,Reported Perpetrator,Reported Perpetrator Name,Affected,Aid Workers Killed,Health Workers Killed,Aid Health Workers Killed,Educators Killed,Students Killed,Food Security,SiND Event ID
2025-06-17,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,,,,,,104364
2025-06-17,,Iran,IRN,Tehran Province,35.7,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,,,,,,104363
2025-06-17,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108921
2025-06-16,,Iran,IRN,Tehran Province,35.4,51.4,"(4) Province, State, Governorate ","Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,,2,,,,104376
2025-06-16,,Iran,IRN,Tehran Province,35.7,51.5,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker,,,,,,,104371
2025-06-15,,Iran,IRN,Tehran Province,35.8,51.4,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,1,,,,,104375
2025-06-15,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",NGO,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105734
2025-06-15,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108917
2025-06-15,,OPT,PSE,Gaza Strip,,,censored,"Protection, Aid Operations, Food Security","IDP/Refugee Service, NGO",Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,107506
2025-06-15,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108918
2025-06-15,,Iran,IRN,Kermanshah Province,34.3,47.0,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,,,,,,104355
2025-06-15,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",INGO,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105731
2025-06-14,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108998
2025-06-14,,Iran,IRN,Hamadan Province,34.7,48.1,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker,,,,,,,104383
2025-06-14,,Iran,IRN,West Azerbaijan Province,37.5,45.0,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,,2,,,,104369
2025-06-14,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",NGO,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105726
2025-06-13,,Iran,IRN,Tehran Province,35.7,51.3,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker,,1,,,,,104373
2025-06-13,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108997
2025-06-13,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108916
2025-06-13,,OPT,PSE,Gaza Strip,,,censored,"Protection, Aid Operations, Food Security","IDP/Refugee Service, NGO",Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,107504
2025-06-13,,Iran,IRN,Tehran Province,35.6,51.3,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,,,,,,104354
